MeshA	MeshB	FacesA	FacesB	Pairs	Time_ms	Mpairs_s	Intersected
Allen_amygdalohippocampal_area_L.off	Allen_piriform_region_R.off	106	590	62540	0.036859	1696.74	0	0
Allen_amygdalohippocampal_area_L.off	Allen_planum_polare_L.off	106	2336	247616	0.085175	2907.14	0	0
Allen_amygdalohippocampal_area_L.off	Allen_planum_polare_R.off	106	2336	247616	0.083667	2959.54	0	0
Allen_amygdalohippocampal_area_L.off	Allen_planum_temporale_L.off	106	1646	174476	0.137942	1264.85	0	0
Allen_amygdalohippocampal_area_L.off	Allen_planum_temporale_R.off	106	1646	174476	0.098568	1770.11	0	0
Allen_amygdalohippocampal_area_L.off	Allen_pontine_tegmentum_L.off	106	528	55968	0.036618	1528.43	0	0
Allen_amygdalohippocampal_area_L.off	Allen_pontine_tegmentum_R.off	106	528	55968	0.034176	1637.64	0	0
Allen_amygdalohippocampal_area_L.off	Allen_postcentral_gyrus_L.off	106	9084	962904	0.268031	3592.51	0	0
Allen_amygdalohippocampal_area_L.off	Allen_postcentral_gyrus_R.off	106	9084	962904	0.274984	3501.67	0	0
Allen_amygdalohippocampal_area_L.off	Allen_posterior_cortical_nucleus_L.off	106	102	10812	0.023427	461.519	1	329
Allen_amygdalohippocampal_area_L.off	Allen_posterior_cortical_nucleus_R.off	106	102	10812	0.023396	462.13	0	0
Allen_amygdalohippocampal_area_L.off	Allen_posterior_horn_of_lateral_ventricle_L.off	106	418	44308	0.029798	1486.95	0	0
Allen_amygdalohippocampal_area_L.off	Allen_posterior_horn_of_lateral_ventricle_R.off	106	418	44308	0.032867	1348.1	0	0
Allen_amygdalohippocampal_area_L.off	Allen_posterior_intermediate_orbital_gyrus_L.off	106	1938	205428	0.088059	2332.85	0	0
Allen_amygdalohippocampal_area_L.off	Allen_posterior_intermediate_orbital_gyrus_R.off	106	1938	205428	0.078883	2604.21	0	0
Allen_amygdalohippocampal_area_L.off	Allen_posterior_parahippocampal_gyrus_L.off	106	1110	117660	0.058034	2027.43	0	0
Allen_amygdalohippocampal_area_L.off	Allen_posterior_parahippocampal_gyrus_R.off	106	1110	117660	0.057147	2058.9	0	0
